loading1,300,300,1,10,0,
loading2,500,500,1,10,0,
loading3,1000,1000,1,10,0,
loading4,300,300,1,10,0.15,3
loading5,500,500,1,10,0.15,3
loading6,1000,1000,1,10,0.15,3
loading7,300,300,1,10,0.25,3
loading8,500,500,1,10,0.25,3
loading9,1000,1000,1,10,0.25,3
loading10,300,300,1,10,0.15,3 4
loading11,500,500,1,10,0.15,3 4
loading12,1000,1000,1,10,0.15,3 4
loading13,300,300,1,10,0.25,3 4
loading14,500,500,1,10,0.25,3 4
loading15,1000,1000,1,10,0.25,3 4
loading16,300,300,3,30,0,
loading17,500,500,3,30,0,
loading18,1000,1000,3,30,0,
loading19,300,300,3,30,0.15,3
loading20,500,500,3,30,0.15,3
loading21,1000,1000,3,30,0.15,3
loading22,300,300,3,30,0.25,3
loading23,500,500,3,30,0.25,3
loading24,1000,1000,3,30,0.25,3
loading25,300,300,3,30,0.15,3 13 23
loading26,500,500,3,30,0.15,3 13 23
loading27,1000,1000,3,30,0.15,3 13 23
loading28,300,300,3,30,0.25,3 13 23
loading29,500,500,3,30,0.25,3 13 23
loading30,1000,1000,3,30,0.25,3 13 23
loading31,300,300,3,30,0.15,3 4 13 14 23 24
loading32,500,500,3,30,0.15,3 4 13 14 23 24
loading33,1000,1000,3,30,0.15,3 4 13 14 23 24
loading34,300,300,3,30,0.25,3 4 13 14 23 24
loading35,500,500,3,30,0.25,3 4 13 14 23 24
loading36,1000,1000,3,30,0.25,3 4 13 14 23 24
